customer_id,name,age,city,email,purchase_amount,rating
1041,Rahul,29,Chennai,user_41@example.com,3557.0,3.0
1042,Aarav Sharma,54,Mumbai,user_42@example.com,3099.0,1.0
1043,Kavya,19,Delhi,user_43@example.com,954.0,5.0
1044,Tanvi,50,Mumbai,user_44@example.com,3574.0,5.0
1046,Deepak,28,Hyderabad,user_46@example.com,4318.0,1.0
1047,Deepak,55,Hyderabad,user_47@example.com,3031.0,2.0
1048,Sneha Patel,39,Bengaluru,user_48@example.com,0.0,1.0
1049,Aarav Sharma,23,Hyderabad,user_49@example.com,1894.0,4.0
1050,Rahul,42,,user_50@example.com,1469.0,3.0
1051,Deepak,36,,user_51@example.com,3011.0,4.0
1052,Aarav Sharma,50,Hyderabad,user_52@example.com,2485.0,1.0
1053,Kavya,45,Mumbai,user_53@example.com,4161.0,2.0
1054,Kavya,24,,user_54@example.com,723.0,1.0
1055,Rahul,19,Mumbai,user_55@example.com,3823.0,5.0
1056,,49,Bengaluru,user_56@example.com,2156.0,1.0
1057,Kavya,36,Hyderabad,user_57@example.com,2355.0,3.0
1058,Rahul,41,Chennai,user_58@example.com,3291.0,1.0
1059,Tanvi,28,Mumbai,user_59@example.com,1545.0,4.0
1061,Aarav Sharma,52,Mumbai,user_61@example.com,3061.0,5.0
1062,Riya Verma,19,Chennai,user_62@example.com,3334.0,5.0
1063,Aarav Sharma,53,Mumbai,user_63@example.com,4593.0,5.0
1064,Tanvi,37,Hyderabad,user_64@example.com,1318.0,1.0
1065,Tanvi,50,Hyderabad,user_65@example.com,4655.0,3.0
1066,Kavya,39,Hyderabad,user_66@example.com,1145.0,5.0
1067,Sneha Patel,55,Chennai,user_67@example.com,3536.0,3.0
1068,Sneha Patel,25,Bengaluru,user_68@example.com,325.0,5.0
1069,Sneha Patel,50,,user_69@example.com,1059.0,1.0
1070,,42,Pune,user_70@example.com,915.0,3.0
1071,Rahul,52,Hyderabad,user_71@example.com,3220.0,1.0
1072,Rahul,45,Chennai,user_72@example.com,0.0,5.0
1073,Sneha Patel,23,Bengaluru,user_73@example.com,1160.0,5.0
1074,Aarav Sharma,63,Pune,user_74@example.com,706.0,3.0
1076,,49,Hyderabad,user_76@example.com,1284.0,3.0
1077,Tanvi,35,Mumbai,user_77@example.com,669.0,3.0
1078,Tanvi,63,Hyderabad,user_78@example.com,4821.0,5.0
1079,Deepak,19,Hyderabad,user_79@example.com,254.0,2.0
1080,Riya Verma,42,Mumbai,user_80@example.com,3275.0,1.0
1081,Aarav Sharma,60,Chennai,user_81@example.com,2906.0,2.0
1082,Kavya,42,Hyderabad,user_82@example.com,624.0,4.0
1083,Riya Verma,24,Mumbai,user_83@example.com,4231.0,5.0
1084,Rahul,18,Hyderabad,user_84@example.com,0.0,5.0
1085,Tanvi,31,,user_85@example.com,1266.0,4.0
1086,Riya Verma,19,Hyderabad,user_86@example.com,2874.0,5.0
1087,Kavya,42,Delhi,user_87@example.com,674.0,5.0
1088,,39,Delhi,user_88@example.com,1815.0,2.0
1089,Sneha Patel,32,Chennai,user_89@example.com,2591.0,5.0
1091,,56,,user_91@example.com,4969.0,5.0
1092,Tanvi,47,Hyderabad,user_92@example.com,4464.0,2.0
1093,Rahul,59,Chennai,user_93@example.com,1782.0,1.0
1094,Tanvi,36,,user_94@example.com,1469.0,5.0
1095,Riya Verma,40,Hyderabad,user_95@example.com,2031.0,5.0
1096,Aarav Sharma,18,Hyderabad,user_96@example.com,0.0,2.0
1097,Tanvi,42,Hyderabad,user_97@example.com,3443.0,5.0
1098,Deepak,22,Chennai,user_98@example.com,2394.0,3.0
1099,Rahul,43,Hyderabad,user_99@example.com,3606.0,5.0
1100,Sneha Patel,42,Pune,user_100@example.com,4145.0,4.0
